"SNO","Variable","Value"
132,"gallerytab","Galerie"
133,"updatestab","Mises &aacute; jours"
134,"headertitle1","sherbrookois"
135,"tasks","T&aacute;ches"
136,"AddNewTask","Ajouter une nouvelle t&aacute;che"
137,"allideas","toutes les id&eacute;es"
138,"manageideas","Id&eacute;es G&eacute;rer"
139,"manageideascat","G&eacute;rer Idea Cat&eacute;gories"
140,"manageideastopics","G&eacute;rer Id&eacute;e Sujets"
141,"manageideasstages","G&eacute;rer &eacute;tapes Idea"
142,"manageideamoder","G&eacute;rer Mod&eacute;rateurs Idea"
143,"manageinvitefriend","G&eacute;rer Invitez-un-ami"
144,"managegoal","G&eacute;rer But"
145,"managelib","G&eacute;rer la biblioth&eacute;que"
146,"managememb","G&eacute;rer les membres"
147,"managemoney","G&eacute;rer l&aacute;rgent"
148,"managepartner","G&eacute;rer Partenaires"
149,"managepoints","G&eacute;rer les points"
150,"manageptspurch","G&eacute;rer Points achats"
151,"manageprizes","G&eacute;rer prix"
152,"manageprojectgrp","G&eacute;rer les groupes de projet"
153,"managecategories","G&eacute;rer les cat&eacute;gories"
154,"managepromocodes","G&eacute;rer des codes promo"
155,"managequotes","G&eacute;rer Cours"
156,"managerewards","G&eacute;rer R&eacute;compenses"
157,"managerewrequests","G&eacute;rer les demandes de r&eacute;compense"
158,"manageRolPerm","G&eacute;rer R&oacute;les / Autorisations"
159,"manageschools","G&eacute;rer &eacute;coles"
160,"manageschoolstoadd","G&eacute;rer &eacute;coles-Ajouter"
161,"managesections","G&eacute;rer les sections"
162,"managesmstaglines","G&eacute;rer Accroches SMS"
163,"managesubscr","G&eacute;rer les abonnements"
164,"managesurveys","G&eacute;rer enqu&eacute;tes"
165,"managetestimonial","G&eacute;rer T&eacute;moignages"
166,"manageadminaudit","Audit Administration"
167,"emailtool","email outil"
168,"followedproj","Projets suivis"
169,"searchkeyword","S&iacute;l vous pla&iacute;t, entrez votre mot cl&eacute; de recherche"
170,"campaignVid","campagne vid&eacute;o"
171,"campaignPic","Campagne Pic"
172,"galleryimg","Galerie Images"
173,"moderators","mod&eacute;rateurs"
174,"dashvarval","Variables de tableau de bord avec des valeurs"
175,"selmoderator","S&eacute;lectionner un mod&eacute;rateur"
176,"labeltxt","&eacute;tiquette"
177,"valtxt","valeur"
178,"percentvaltxt","pourcentage Valeur"
179,"uploadtext","Remarque: * S&iacute;l vous pla&iacute;t t&eacute;l&eacute;charger uniquement l&iacute;mage en taille 700x306"
180,"upload2text","Remarque: * S&iacute;l vous pla&iacute;t t&eacute;l&eacute;charger uniquement l&iacute;mage en taille 200x200"
181,"campvidnote1","Note: S&iacute;l vous pla&iacute;t entrez l&Uacute;RL de la vid&eacute;o que de youtube ou vimeo sites."
182,"campvidnote2","1. Exemple de youtube URL: http://www.youtube.com/watch?v = {vid&eacute;o-id}"
183,"campvidnote3","2. Exemple de vimeo URL: http://vimeo.com/ {vid&eacute;o-id}"
184,"sharethisproj","Partager le projet"
185,"unfollowtext","Ne pas suivre"
186,"followtext","suivre"
187,"embedtext","Int&eacute;grer"
188,"emailtext1","Email"
189,"descriptiontext","Description"
190,"teamtext","&eacute;quipe"
191,"relatedIdeas","Id&eacute;es connexes"
192,"ideascheck1","Actuellement, tous les points sont &aacute; utiliser ..."
193,"pendingideastext","en attendant id&eacute;es"
194,"activeideastext","id&eacute;es actifs"
195,"needmyvotetext","besoin de mon vote"
196,"retideastext","id&eacute;es retourn&eacute;s"
197,"winnerideatext","id&eacute;es de gagnant"
198,"totaltxt","total"
199,"relatedtasktxt","T&aacute;ches connexes"
200,"relatedprojtxt","Concernant le projet"
201,"selectprojtxt","S&eacute;lectionnez Projet"
202,"actions","actes"
203,"pID","pID"
204,"ptextContent","P"
205,"resetS","Effacer Recherche"
206,"currentBal","Votre solde de points actuel est"
207,"pts","pts"
208,"toseehowearn","pour voir comment gagner des points"
209,"addresource","Ajouter une ressource li&eacute;e"
210,"addlevel2doc","AJOUTER UN NIVEAU 3 DOCUMENT"
211,"type","type"
212,"Title","titre"
213,"Format","format"
214,"Uploaded","T&eacute;l&eacute;charg&eacute"
215,"filesize","Taille du fichier"
216,"relatedRes","R E L A T E D   R E S O U R C E S"
217,"futherInf","F U R T H E R   I N F O R M A T I O N"
218,"forgotPassHeading","Vous avez oubli&eacute; votre mot de passe?"
219,"forgotPassNote","Entrez l&aacute;dresse e-mail et cliquez sur ""Envoyer"" pour avoir vos informations de connexion envoy&eacute;s."
220,"sendPassText","Envoyer Mot de passe"
221,"emailfoundtext1","Nous avons d&eacute;j&aacute; un membre avec l&aacute;dresse e-mail que vous avez sp&eacute;cifi&eacute;."
222,"emailfoundtext2","Veuillez utiliser le Mot de passe oubli&eacute; la fonction pour r&eacute;cup&eacute;rer vos donn&eacute;es"
223,"emailfoundtext3","De connexion, ou le contact"
224,"emailfoundtext4","pour obtenir de l&aacute;ide"
225,"validEmailNote","S&iacute;l vous pla&iacute;t entrer une adresse email valide."
226,"thanksText","MERCI!"
227,"checkEmailNote","V&eacute;rifiez votre email: "
228,"forverilinktext","pour le lien de validation."
229,"firstNameText","Pr&eacute;nom"
230,"lastNameText","Nom"
231,"CountryText","pays"
232,"PasswordText","mot de passe"
233,"CpasswordText","confirmer mot de passe"
234,"acceptterms","Acceptez les termes"
235,"readterms1","J&Aacute;I LU ET ACCEPTER LA"
236,"readterms2","CONDITIONS D&Uacute;TILISATION"
237,"readterms3","JE SUIS D&Aacute;CCORD AVEC TOUTES LES DISPOSITIONS CONTENUES DANS IT."
238,"verifycomptext1","V&eacute;rification compl&eacute;te!"
239,"verifycomptext2","Derni&eacute;re &eacute;tape avant de vous joindre &aacute; la communaut&eacute; et commencer &aacute; profiter!"
240,"verifycomptext3","Entrez vos coordonn&eacute;es dans le formulaire ci-dessous. (Tous les champs sont obligatoires)"
241,"acctinfotext","Informations du compte"
242,"allfieldstext","Tous les champs obligatoires"
243,"fullnametext","nom et pr&eacute;nom"
244,"profileHeadText","Profil Headline"
245,"pubprofileurltext","Profil public URL"
246,"clickheretext","cliquez ici"
247,"signuptext","signer"
248,"notauthorizedtext","Vous n&eacute;tes pas autoris&eacute; &aacute; afficher cette page"
249,"myPointsaccount","mon compte Points"
250,"myCashaccount","mon compte de tr&eacute;sorerie"
251,"myEducationaccount","mon compte &Eacute;ducation"
252,"Moneymanagement","Gestion de l&aacute;rgent"
253,"Howitworks","Comment ca marche"
254,"Tirages","Tirages"
255,"Awards","R&eacute;compenses"
256,"pricelist","Liste de prix"
257,"Thewinnerscircle","Le cercle des gagnants"
258,"Suggestionsreward","Suggestions de r&eacute;compense"
259,"articleTitle","Titre de l&aacute;rticle"
260,"pubDate","date de publication"
261,"Calendar","calendrier"
262,"expiryDate","date d&eacute;xpiration"
263,"Author","auteur"
264,"allowtoview","Laisser Voir"
265,"Administrators","administrateurs"
266,"Public","public"
267,"metatitle","meta Titre"
268,"metadesc","meta Description"
269,"metakey","meta Keywords"
270,"commadeli","S&eacute;par&eacute;s par des virgules"
271,"disporder","Ordre d&aacute;ffichage"
272,"released","lib&eacute;r&eacute;"
273,"addartnow","AJOUTER article maintenant"
