230,"lastNameText","Last Name"
231,"CountryText","Country"
232,"PasswordText","Password"
233,"CpasswordText","Confirm Password"
234,"acceptterms","Accept Terms"
235,"readterms1","I HAVE READ AND ACCEPT THE"
236,"readterms2","TERMS OF USE AGREEMENT"
237,"readterms3","I AGREE TO ALL OF THE PROVISIONS CONTAINED WITHIN IT."
238,"verifycomptext1","VERIFICATION COMPLETE!"
239,"verifycomptext2","Final Step before you join the community and start profiting!"
240,"verifycomptext3","Enter your details in the form below. (All fields are required)"
241,"acctinfotext","Account information"
242,"allfieldstext","All fields required"
243,"fullnametext","Full Name"
244,"profileHeadText","Profile Headline"
245,"pubprofileurltext","Public Profile URL"
246,"clickheretext","click here"
247,"signuptext","Sign up"
248,"notauthorizedtext","You are not authorized to view this page"
249,"myPointsaccount","my Points account"
250,"myCashaccount","my Cash account"
251,"myEducationaccount","my Education account"
252,"Moneymanagement","Money management"
253,"Howitworks","How it works"
254,"Tirages","prints"
255,"Awards","Awards"
256,"pricelist","price list"
257,"Thewinnerscircle","The winners circle"
258,"Suggestionsreward","Suggestions reward"
259,"articleTitle","Article Title"
260,"pubDate","Published Date"
261,"Calendar","Calendar"
262,"expiryDate","Expiry Date"
263,"Author","Author"
264,"allowtoview","Allow to View"
265,"Administrators","Administrators"
266,"Public","Public"
267,"metatitle","Meta Title"
268,"metadesc","Meta Description"
269,"metakey","Meta Keywords"
270,"commadeli","Comma-delimited"
271,"disporder","Display Order"
272,"released","Released"
273,"addartnow","ADD ARTICLE NOW"
